OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,X,Y
211982815,376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,393013.8386,142034.9791
211982816,377,Connecticut Ave & Chevy Chase Lake Dr,32051,38.994113,-77.076986,393330.7482,147355.5038
211982817,378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,383153.1879,159713.1322
211982818,379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,389763.2023,136723.3155
211982819,380,Saint Asaph & Madison St,31097,38.812718,-77.044097,396170.1757,127217.2968
211982820,381,King St Metro North / Cameron St,31098,38.80704,-77.059817,394804.4809,126587.7799
211982821,382,Madison & N Henry St,31099,38.813485,-77.049468,395703.7505,127302.6778
211982822,383,Medical Center Metro,32053,38.999378,-77.097882,391521.1673,147941.7054
211982823,384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,388922.9724,135228.947
211982824,385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,392664.3441,143376.841
211982825,386,16th & Irving St NW,31122,38.928893,-77.03625,396856.8086,140113.2886
211982826,387,16th & R St NW,31282,38.912652,-77.036278,396853.6643,138310.4017
211982827,388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,395567.6923,147971.816
211982828,389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,391896.6255,145776.2839
211982829,390,14th & L St NW,31283,38.903658,-77.031737,397247.1512,137311.8475
211982830,391,1st & O St NW,31519,38.908643,-77.012365,398927.5421,137864.8171
211982831,392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,399293.8349,129303.1048
211982832,393,18th & C St NW,31284,38.893511,-77.041544,396395.9852,136185.791
211982833,394,22nd & P ST NW,31285,38.909394,-77.048728,395773.7018,137949.2396
211982834,395,East West Hwy & 16th St,32056,38.995681,-77.038721,396645.6961,147527.4668
211982835,396,Royal & Wilkes St,31903,38.799267,-77.0447,396117.074,125724.1768
211982836,397,14th & Girard St NW,31123,38.925284,-77.032375,397192.6628,139712.5324
211982837,398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,395721.9352,128329.8113
211982838,399,11th & O St NW,31286,38.90843,-77.02714,397646.0498,137841.4497
211982839,400,10th St & L'Enfant Plaza SW,31287,38.884323,-77.02601,397743.2963,135165.3527
211982840,401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,394355.4076,142142.0313
